"SuspiciousInfoCode.RISK-PIP", "O endereço IP do proxy é arriscado."
"SuspiciousInfoCode.RISK-SD", "A inconsistência nos países de cobrança e entrega é arriscado."
"SuspiciousInfoCode.RISK-TB", "O dia e a hora da ordem associada ao endereço de cobrança é arriscado."
"SuspiciousInfoCode.RISK-TIP", "O verdadeiro endereço IP é arriscado."
"SuspiciousInfoCode.RISK-TS", "O dia e a hora da ordem associada ao endereço de entrega é arriscado. "

"VelocityInfoCode.VEL-ADDR", " Diferente estados de faturamento e/ou o envio (EUA e Canadá apenas) têm sido usadas várias vezes com o número do cartão de crédito e/ou endereço de email."
"VelocityInfoCode.VEL-CC D", "iferentes números de contas foram usados várias vezes com o mesmo nome ou endereço de email."
"VelocityInfoCode.VEL-NAME", " Diferentes nomes foram usados várias vezes com o número do cartão de crédito e / ou endereço de email."
"VelocityInfoCode.VELS-CC", "O número de conta tem sido utilizado várias vezes durante o intervalo de controle curto."
"VelocityInfoCode.VELI-CC", "O número de conta tem sido utilizado várias vezes durante o intervalo de controle médio."
"VelocityInfoCode.VELL-CC", "O número de conta tem sido utilizado várias vezes durante o intervalo de controle longo."
"VelocityInfoCode.VELV-CC", "O número de conta tem sido utilizado várias vezes durante o intervalo de controle muito longo."
"VelocityInfoCode.VELS-EM", "O endereço de e-mail tem sido utilizado várias vezes durante o intervalo de controle curto."
"VelocityInfoCode.VELI-EM", "O endereço de e-mail tem sido utilizado várias vezes durante o intervalo de controle médio."
"VelocityInfoCode.VELL-EM", "O endereço de e-mail tem sido utilizado várias vezes durante o intervalo de controle longo."
"VelocityInfoCode.VELV-EM", "O endereço de e-mail tem sido utilizado várias vezes durante o intervalo de controle muito longo."
"VelocityInfoCode.VELS-FP", "O device fingerprint tem sido utilizado várias vezes durante um intervalo curto"
"VelocityInfoCode.VELI-FP", "O device fingerprint tem sido utilizado várias vezes durante um intervalo médio"
"VelocityInfoCode.VELL-FP", "O device fingerprint tem sido utilizado várias vezes durante um intervalo longo"
"VelocityInfoCode.VELV-FP", "O device fingerprint tem sido utilizado várias vezes durante um intervalo muito longo"
"VelocityInfoCode.VELS-IP", "O endereço IP tem sido utilizado várias vezes durante o intervalo de controle curto."
"VelocityInfoCode.VELI-IP", "O endereço IP tem sido utilizado várias vezes durante o intervalo de controle médio."
"VelocityInfoCode.VELL-IP", "O endereço IP tem sido utilizado várias vezes durante o intervalo de controle longo."
"VelocityInfoCode.VELV-IP", "O endereço IP tem sido utilizado várias vezes durante o intervalo de controle muito longo."
"VelocityInfoCode.VELS-SA", "O endereço de entrega tem sido utilizado várias vezes durante o intervalo de controle curto."
"VelocityInfoCode.VELI-SA", "O endereço de entrega tem sido utilizado várias vezes durante o intervalo de controle médio."
"VelocityInfoCode.VELL-SA", "O endereço de entrega tem sido utilizado várias vezes durante o intervalo de controle longo."
"VelocityInfoCode.VELV-SA", "O endereço de entrega tem sido utilizado várias vezes durante o intervalo de controle muito longo."
"VelocityInfoCode.VELS-TIP", " O endereço IP verdadeiro tem sido utilizado várias vezes durante o intervalo de controle curto."
"VelocityInfoCode.VELI-TIP", " O endereço IP verdadeiro tem sido utilizado várias vezes durante o intervalo de controle médio."
"VelocityInfoCode.VELL-TIP", " O endereço IP verdadeiro tem sido utilizado várias vezes durante o intervalo de controle longo. "
